Date,Weekday,Holiday
1940-07-04,Thursday,IndependenceDay
1940-09-02,Monday,Labor Day
1940-10-11,Friday,ColumbusDay (observed)
1940-11-05,Tuesday,ElectionDay
1940-11-11,Monday,VeteransDay
1940-11-28,Thursday,Thanks giving
1940-12-25,Wednesday,Christmas
1941-01-01,Wednesday,New Years Day
1941-02-12,Wednesday,LincolnsBirthday
1941-02-21,Friday,Washingtons Birthday (observed)
1941-04-11,Friday,Good Friday Day
1941-05-30,Friday,Memorial Day
1941-06-13,Friday,FlagDay (observed)
1941-07-04,Friday,IndependenceDay
1941-09-01,Monday,Labor Day
1941-10-13,Monday,ColumbusDay (observed)
1941-11-04,Tuesday,ElectionDay
1941-11-11,Tuesday,VeteransDay
1941-11-27,Thursday,Thanks giving
1941-12-25,Thursday,Christmas
1942-01-01,Thursday,New Years Day
1942-02-12,Thursday,LincolnsBirthday
1942-02-23,Monday,Washingtons Birthday (observed)
1942-04-03,Friday,Good Friday Day
1942-05-29,Friday,Memorial Day (observed)
1942-06-15,Monday,FlagDay (observed)
1942-07-03,Friday,Independence Day (observed)
1942-09-07,Monday,Labor Day
1942-10-12,Monday,ColumbusDay
1942-11-03,Tuesday,ElectionDay
1942-11-11,Wednesday,VeteransDay
1942-11-26,Thursday,Thanks giving
1942-12-25,Friday,Christmas
1943-01-01,Friday,New Years Day
1943-02-12,Friday,LincolnsBirthday
1943-02-22,Monday,Washingtons Birthday
1943-04-23,Friday,Good Friday Day
1943-05-31,Monday,Memorial Day (observed)
1943-06-14,Monday,FlagDay
1943-07-05,Monday,Independence Day (observed)
1943-09-06,Monday,Labor Day
1943-10-12,Tuesday,ColumbusDay
1943-11-02,Tuesday,ElectionDay
1943-11-11,Thursday,VeteransDay
1943-11-25,Thursday,Thanks giving
1943-12-24,Friday,Christmas (observed)
1943-12-31,Friday,New Years Day (observed)
1944-02-11,Friday,LincolnsBirthday (observed)
1944-02-22,Tuesday,Washingtons Birthday
1944-04-07,Friday,Good Friday Day
1944-05-30,Tuesday,Memorial Day
1944-06-14,Wednesday,FlagDay
1944-07-04,Tuesday,IndependenceDay
1944-09-04,Monday,Labor Day
1944-10-12,Thursday,ColumbusDay
1944-11-07,Tuesday,ElectionDay
1944-11-10,Friday,VeteransDay (observed)
1944-11-23,Thursday,Thanks giving
1944-12-25,Monday,Christmas
1945-01-01,Monday,New Years Day
1945-02-12,Monday,LincolnsBirthday
1945-02-22,Thursday,Washingtons Birthday
1945-03-30,Friday,Good Friday Day
1945-05-30,Wednesday,Memorial Day
1945-06-14,Thursday,FlagDay
1945-07-04,Wednesday,IndependenceDay
